Code,Average IC50,Bioactivity,SMILES,INCHI-KEY
2299985,165.5,active,CC(C)(C)NC(C(Cc1c[nH]c2c1cccc2)NC(/C=C/c(cc1)ccc1C(NO)=O)=O)=O,PCOVUNDZRFUSKK-JLHYYAGUSA-N
1282795,291,inactive,CC(C)(C)OC(C[C@@H](c1nnc(C)[n]1-c1c2c(C)c(C)[s]1)N=C2c(cc1)ccc1Cl)=O,DNVXATUJJDPFDM-KRWDZBQOSA-N
1525301,800,inactive,CC(C)(C)OC(N(CC1(C2)SCCS1)[C@@H]2C(N[C@@H](Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,RAJKALFLJZRRSP-CWUDDMQTSA-N
1525302,1120,inactive,CC(C)(C)OC(N(CC1)CCC1C(NC(Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,OHQHNACKJWVGEP-ZRDIBKRKSA-N
1525295,430,inactive,CC(C)(C)OC(N(CCC1)[C@@H]1C(N[C@@H](Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,NHSDWDGAOOYDEL-ZOMXMJQISA-N
1525298,320,inactive,CC(C)(C)OC(N[C@@H](Cc(cc1)ccc1O)C(N[C@@H](Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,XDFLCIRPOMCCIQ-PRKJBABVSA-N
1525710,490,inactive,CC(C)(C)OC(N[C@@H](Cc1c[nH]c2c1cccc2)C(N[C@@H](Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,UOBCMTVBGNHLIF-ZQVNXANISA-N
1525712,620,inactive,CC(C)(C)OC(N[C@@H](Cc1ccccc1)C(N[C@@H](Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,SXKCLEPMKWXQKE-KOJHJAAPSA-N
1521262,180,active,CC(C)(C)OC(N[C@@H](CCSC)C(N[C@@H](Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,JZCZDGNWFPFHQT-OYSFDHLDSA-N
1732189,255.1,inactive,CC(C)(C)OC(N[C@@H](CCSC)C(N[C@H](Cc1c[nH]c2c1cccc2)COc1ccc(/C=C/C(NO)=O)cc1)=O)=O,LIPUPTUZCSFIPA-NEFSXQCLSA-N
1525297,140,active,CC(C)(C)OC(N[C@@H](CO)C(N[C@@H](Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,OCURMYMEQOSPEZ-ZSNDZELZSA-N
1732190,97.6,active,CC(C)(C)OC(N[C@@H](CO)C(N[C@H](Cc1c[nH]c2c1cccc2)COc1ccc(/C=C/C(NO)=O)cc1)=O)=O,HVIVGIGHQOFYMS-NREDKTIXSA-N
488393,50,active,CC(C)(C)OC(Nc(cc1)ccc1-c1cc(C(NCCCCCCC(NO)=O)=O)n[o]1)=O,WWGBHDIHIVGYLZ-UHFFFAOYSA-N
2738053,290,inactive,CC(C)(C)OC(Nc(cc1)ccc1-c1ncc(C(NCCCCCCC(NO)=O)=O)[s]1)=O,ZVGSGHLOZJHCBV-UHFFFAOYSA-N
1525303,730,inactive,CC(C)(C)OC(Nc(cc1)ccc1C(NC(Cc1c[nH]c2c1cccc2)COc(ccc(/C=C/C(NO)=O)c1)c1OC)=O)=O,LZQGAAAWDKHKEI-MHWRWJLKSA-N
